Frage,Antwort,Fachnummer
Wie viele Meere sind auf der Erde?,	50 Meere	,0
Wie viele Ozeane gibt es auf der Erde?,	5 Ozeane,0
Was ist der grˆﬂte Ozean der Welt?,	Pazifischer Ozean,2
Was ist der grˆﬂte Meer der Welt?,	Mittelmeer,2
Was ist der l‰ngste Fluss der Welt?,	Der Nil,0
Was ist der am schnellsten laufende Fluss ?,	Amazonas,3
Wie heiﬂt der tiefste Punkt der Welt?,	Marianengraben,1
Wo ist der tiefste Punkt der Welt?,	In Pazifischer Ozean,0
An welchem Punkt treffen sie sich den Mittelmeer und Atlantik?,	Straﬂe von Gibralter,0
An welchem Punkt treffen sie sich den Mittelmeer und Roten Meer?,	Sueskanal,1
An welchem Punkt treffen sie sich den schwarzen Meer und Marmarameer?,	Bosporus,0
Was ist der niedrigste Bereich der Erde?,	Das Tote Meer,0
In welchem Ozean befindet sich das Bermuda-Dreieck?,	In Atlantischer Ozean,2
In Welchem Ozean befindet sich das Drachendreieck?,	In Pazifischer Ozean,2
In Welchem Ozean befindet sich die Madagaskar Insel?,	In Indischer Ozean,0
Wie groﬂ ist die Fl‰che von Bermuda Dreieck?,1 000 000 km^2,1
In Welchem Ozean befindet sich der Seychellen Archipel?,	In Indischer Ozean,1
Wie viel Inseln sind im karibischen Meer?,7.000 Inseln,0
Aus wie vielen Inseln den Malediven besteht?,	Aus 26 Inseln,2
Wie tief ist der tiefste Punkt der Welt?,	11.03 km,0
Wie viel Ist die Prozentsatz des Wassers auf der Erde?,	71%,2
